Id,SalePrice
1461,123199.826692
1462,156032.220056
1463,186892.779585
1464,198865.187909
1465,185205.76051
1466,173155.384483
1467,174871.049857
1468,162277.699382
1469,188168.775309
1470,128165.696268
1471,164229.460771
1472,99061.7936864
1473,99128.4650175
1474,145373.980156
1475,106813.077203
1476,370744.97684
1477,257346.287538
1478,290564.277511
1479,301291.112296
1480,468899.330366
1481,339048.936502
1482,208033.538895
1483,182733.138752
1484,167560.000857
1485,194064.513464
1486,195746.570034
1487,337774.824486
1488,239654.62465
1489,204586.245484
1490,242419.937809
1491,195605.152047
1492,94733.1574827
1493,198335.3441
1494,301887.155118
1495,288457.148993
1496,231431.668794
1497,178601.500213
1498,180856.104251
1499,170757.057619
1500,171686.388927
1501,181026.555546
1502,147959.315588
1503,294169.123164
1504,244248.9072
1505,230464.608244
1506,191033.68015
1507,239616.881394
1508,198653.96229
1509,166609.541227
1510,153260.023368
1511,155657.568003
1512,162808.882754
1513,153629.62706
1514,161213.302056
1515,184704.182669
1516,149320.592577
1517,167265.464582
1518,128679.139023
1519,212126.355441
1520,133288.0961
1521,138185.652178
1522,176716.258018
1523,113974.923882
1524,119796.984132
1525,119251.800218
1526,112604.14341
1527,111258.148044
1528,133603.874688
1529,157578.49772
1530,182561.55635
1531,113220.221999
1532,94198.4175457
1533,143772.225426
1534,121969.190844
1535,142370.756771
1536,108946.696971
1537,67826.0411745
1538,154165.600856
1539,202585.313379
1540,95005.4131277
1541,146296.803198
1542,132463.52321
1543,192126.487644
1544,80326.8966352
1545,107140.86984
1546,137180.230074
1547,125817.957092
1548,131249.578394
1549,114768.540297
1550,135344.926596
1551,105733.452084
1552,139402.704906
1553,145224.340161
1554,119309.537578
1555,175547.353157
1556,100526.636757
1557,105864.893336
1558,105949.471224
1559,69688.7419178
1560,134964.110454
1561,131412.409484
1562,130000.520566
1563,121197.197094
1564,153730.837764
1565,160957.598346
1566,244786.772454
1567,81306.0159392
1568,245170.647937
1569,139116.945392
1570,137942.7667
1571,108938.074634
1572,140106.299511
1573,241596.396008
1574,120611.051605
1575,220664.877122
1576,253916.412198
1577,182856.131131
1578,141145.99094
1579,145784.564356
1580,193207.065736
1581,163304.577097
1582,127016.49469
1583,284990.597685
1584,210311.495293
1585,141027.430225
1586,73998.1058037
1587,113906.858699
1588,153849.741599
1589,102788.895546
1590,129903.129703
1591,93252.0331192
1592,118347.978711
1593,126113.598525
1594,123150.407207
1595,111573.707798
1596,228961.183534
1597,202804.513586
1598,234731.41595
1599,167427.514626
1600,154708.524155
1601,68710.9530419
1602,123367.739265
1603,71724.3762995
1604,255603.092547
1605,233353.030539
1606,162543.163026
1607,168954.997521
1608,219682.683384
1609,185861.92238
1610,163590.492773
1611,139687.046578
1612,179219.907434
1613,165462.315117
1614,119711.516095
1615,91786.1736373
1616,78899.1021866
1617,88091.8900867
1618,130820.79581
1619,145609.860318
1620,156061.633698
1621,139931.460993
1622,142963.951175
1623,243249.316368
1624,214168.26446
1625,115139.49155
1626,173548.553386
1627,193348.912557
1628,287429.757127
1629,190202.417512
1630,327316.116994
1631,231970.868376
1632,241879.669919
1633,176156.89611
1634,192018.358993
1635,175385.372601
1636,154812.12897
1637,207023.533465
1638,181247.558282
1639,185858.343685
1640,244796.888466
1641,182965.009231
1642,262469.247073
1643,218090.032088
1644,244575.660906
1645,200750.496401
1646,159995.147128
1647,160099.346047
1648,134253.655461
1649,142446.408781
1650,119605.343905
1651,120045.554688
1652,99467.1850554
1653,102366.847466
1654,140957.316059
1655,134345.043054
1656,143542.718061
1657,146305.275611
1658,148886.123015
1659,116145.402804
1660,154115.320331
1661,431397.659278
1662,379994.316814
1663,375841.14314
1664,461396.995382
1665,313207.543035
1666,335176.389818
1667,384065.398454
1668,356072.802363
1669,303991.435205
1670,358603.846083
1671,258089.800156
1672,401879.631208
1673,289589.417392
1674,245291.035744
1675,199123.254814
1676,204185.184541
1677,221065.995323
1678,462971.760423
1679,392088.254741
1680,332495.355606
1681,251378.801459
1682,326982.596881
1683,186079.117092
1684,174023.902385
1685,173025.276391
1686,171477.395321
1687,175725.978644
1688,198364.473443
1689,191606.518704
1690,197271.259419
1691,186568.364997
1692,260506.426598
1693,180036.89571
1694,182964.770612
1695,170020.937351
1696,262167.632091
1697,169451.853584
1698,357929.804561
1699,332941.447941
1700,271625.25918
1701,276079.262573
1702,249101.176851
1703,241261.866617
1704,279850.139198
1705,247547.17589
1706,378155.855414
1707,216913.516692
1708,207499.33896
1709,273272.800922
1710,226282.442384
1711,280333.474697
1712,249322.589901
1713,282643.910306
1714,232658.681558
1715,217551.856785
1716,183901.822952
1717,171031.306854
